,id,Description,Control,Time_min,PMID,target,sign,class,cell_line,treatment,UniprotID
27,1322_277,Selumetinib (AZD6244),Control,,25850435,MAP2K1,-1,Dual-specificity,,,Q02750
28,1322_277,Selumetinib (AZD6244),Control,,25850435,MAP2K2,-1,Dual-specificity,,,P36507
29,1323_277,Vemurafenib (PLX4032),Control,,25850435,BRAF,-1,Serine/Threonine,,,P15056
30,1324_277,Vemurafenib (PLX4032),Control,,25850435,BRAF,-1,Serine/Threonine,,,P15056
31,1325_277,Vemurafenib (PLX4032),Control,,25850435,BRAF,-1,Serine/Threonine,,,P15056
32,1326_277,Vemurafenib (PLX4032),Selumetinib (AZD6244),,25850435,BRAF,-1,Serine/Threonine,,,P15056
33,1327_277,Vemurafenib (PLX4032),Selumetinib (AZD6244),,25850435,BRAF,-1,Serine/Threonine,,,P15056
34,1328_277,Vemurafenib (PLX4032),Selumetinib (AZD6244),,25850435,BRAF,-1,Serine/Threonine,,,P15056
35,1329_278,anti-CD3 + anti-CD28,Control,15.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
36,1329_279,anti-CD3 + anti-CD28,Control,15.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
37,1330_278,anti-CD3 + anti-CD28,Control,30.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
38,1330_279,anti-CD3 + anti-CD28,Control,30.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
39,1331_278,anti-CD3 + anti-CD28,Control,60.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
40,1331_279,anti-CD3 + anti-CD28,Control,60.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
41,1332_278,anti-CD3 + anti-CD28,Control,120.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
42,1332_279,anti-CD3 + anti-CD28,Control,120.0,26546556,PRKCA,1,Serine/Threonine,,,P17252
43,15_3,Differentiation (PMA),Undifferentiated (Conditioned medium),30.0,21406692,PRKCA,1,Serine/Threonine,,,P17252
44,18_3,Differentiation (PMA),Undifferentiated (Conditioned medium),60.0,21406692,PRKCA,1,Serine/Threonine,,,P17252
45,186_57,Crizotinib,Untreated,,23898821,ALK,-1,Tyrosine,,,Q9UM73
46,186_60,Crizotinib,Untreated,,23898821,ALK,-1,Tyrosine,,,Q9UM73
47,21_3,Differentiation (PMA),Undifferentiated (Conditioned medium),360.0,21406692,PRKCA,1,Serine/Threonine,,,P17252
48,240_63,EGF,Untreated,15.0,19651622,AKT1,1,Serine/Threonine,,,P31749
49,240_63,EGF,Untreated,15.0,19651622,BRAF,1,Serine/Threonine,,,P15056
50,240_63,EGF,Untreated,15.0,19651622,EGFR,1,Tyrosine,,,P00533
51,240_63,EGF,Untreated,15.0,19651622,MAP2K2,1,Dual-specificity,,,P36507
52,240_63,EGF,Untreated,15.0,19651622,MAPK1,1,Serine/Threonine,,,P28482
53,240_63,EGF,Untreated,15.0,19651622,RAF1,1,Serine/Threonine,,,P04049
54,240_63,EGF,Untreated,15.0,19651622,MAP2K1,1,Dual-specificity,,,Q02750
55,240_63,EGF,Untreated,15.0,19651622,MAPK3,1,Serine/Threonine,,,P27361
56,240_66,EGF,Untreated,15.0,19651622,AKT1,1,Serine/Threonine,,,P31749
57,240_66,EGF,Untreated,15.0,19651622,MAP2K2,1,Dual-specificity,,,P36507
58,240_66,EGF,Untreated,15.0,19651622,MAPK1,1,Serine/Threonine,,,P28482
59,240_66,EGF,Untreated,15.0,19651622,RAF1,1,Serine/Threonine,,,P04049
60,240_66,EGF,Untreated,15.0,19651622,MAP2K1,1,Dual-specificity,,,Q02750
61,240_66,EGF,Untreated,15.0,19651622,BRAF,1,Serine/Threonine,,,P15056
62,240_66,EGF,Untreated,15.0,19651622,EGFR,1,Tyrosine,,,P00533
63,240_66,EGF,Untreated,15.0,19651622,MAPK3,1,Serine/Threonine,,,P27361
64,24_3,Differentiation (PMA),Undifferentiated (Conditioned medium),1440.0,21406692,PRKCA,1,Serine/Threonine,,,P17252
65,243_63,EGF + SB202190,Untreated,15.0,19651622,MAPK14,-1,Serine/Threonine,,,Q16539
66,246_63,EGF + SB202190,EGF,15.0,19651622,MAPK14,-1,Serine/Threonine,,,Q16539
67,252_66,EGF + U0126,Untreated,15.0,19651622,MAP2K1,-1,Dual-specificity,,,Q02750
68,252_66,EGF + U0126,Untreated,15.0,19651622,MAP2K2,-1,Dual-specificity,,,P36507
69,255_66,EGF + U0126,EGF,15.0,19651622,MAP2K1,-1,Dual-specificity,,,Q02750
70,255_66,EGF + U0126,EGF,15.0,19651622,MAP2K2,-1,Dual-specificity,,,P36507
71,273_75,Mitosis (MLN8054 0_25 microM),Untreated,,21712546,AURKA,-1,Serine/Threonine,,,O14965
72,276_75,Mitosis (MLN8054 1 microM),Untreated,,21712546,AURKA,-1,Serine/Threonine,,,O14965
73,279_75,Mitosis (MLN8054 5 microM),Untreated,,21712546,AURKA,-1,Serine/Threonine,,,O14965
74,282_75,Mitosis (AZD1152),Untreated,,21712546,AURKA,-1,Serine/Threonine,,,O14965
75,282_75,Mitosis (AZD1152),Untreated,,21712546,AURKB,-1,Serine/Threonine,,,Q96GD4
76,285_75,Mitosis (BI2536),Untreated,,21712546,PLK1,-1,Serine/Threonine,,,P53350
77,288_75,Mitosis (short Taxol + BI2536),Untreated,,21712546,PLK1,-1,Serine/Threonine,,,P53350
78,318_87,anti-CD3,Time 0_5,0.0,24204825,PRKCA,1,Serine/Threonine,,,P17252
79,318_93,anti-CD3,Time 0_5,0.0,24204825,PRKCA,1,Serine/Threonine,,,P17252
80,321_87,anti-CD3,Time 0_5,5.0,24204825,PRKCA,1,Serine/Threonine,,,P17252
81,321_93,anti-CD3,Time 0_5,5.0,24204825,PRKCA,1,Serine/Threonine,,,P17252
82,324_87,anti-CD3,Time 0_5,10.0,24204825,PRKCA,1,Serine/Threonine,,,P17252
83,327_87,anti-CD3,Time 0_5,20.0,24204825,PRKCA,1,Serine/Threonine,,,P17252
84,363_105,LRRK2-IN-1 (Endogenous LRRK2),Untreated,,24117733,LRRK2,-1,Serine/Threonine,,,Q5S007
85,366_108,LRRK2-IN-1 (LRRK2 overexpression),Untreated,,24117733,LRRK2,-1,Serine/Threonine,,,Q5S007
86,369_111,PLK1 Inhibitor (G2r - BI2536 - 30m),Untreated,,23612710,PLK1,-1,Serine/Threonine,,,P53350
87,372_111,PLK1 Inhibitor (G2r - BI2536 - 120m),Untreated,,23612710,PLK1,-1,Serine/Threonine,,,P53350
88,375_111,PLK1 Inhibitor (G2r - BI2536 - 240m),Untreated,,23612710,PLK1,-1,Serine/Threonine,,,P53350
89,378_111,PLK1 Inhibitor (G2nr - BI2536 - 360m),Untreated,,23612710,PLK1,-1,Serine/Threonine,,,P53350
90,390_120,DNA damage (Etoposide),Untreated,,22424773,ATR,1,Serine/Threonine,,,Q13535
91,390_120,DNA damage (Etoposide),Untreated,,22424773,ATM,1,Serine/Threonine,,,Q13315
92,399_129,DNA damage (Ionizing radiation),Untreated,,22424773,ATM,1,Serine/Threonine,,,Q13315
93,399_129,DNA damage (Ionizing radiation),Untreated,,22424773,ATR,1,Serine/Threonine,,,Q13535
94,405_132,Dasatinib (50 nM),Untreated,,19651622,MAPK1,-1,Serine/Threonine,,,P28482
95,405_132,Dasatinib (50 nM),Untreated,,19651622,MAPK3,-1,Serine/Threonine,,,P27361
96,405_132,Dasatinib (50 nM),Untreated,,19651622,LCK,-1,Tyrosine,,,P06239
97,405_132,Dasatinib (50 nM),Untreated,,19651622,ABL1,-1,Tyrosine,,,P00519
98,408_132,Dasatinib (50 nM),Dasatinib (5 nM),,19651622,MAPK1,-1,Serine/Threonine,,,P28482
99,408_132,Dasatinib (50 nM),Dasatinib (5 nM),,19651622,MAPK3,-1,Serine/Threonine,,,P27361
100,408_132,Dasatinib (50 nM),Dasatinib (5 nM),,19651622,LCK,-1,Tyrosine,,,P06239
101,408_132,Dasatinib (50 nM),Dasatinib (5 nM),,19651622,ABL1,-1,Tyrosine,,,P00519
102,411_141,VEGF,Untreated,10.0,23592840,FLT4,1,Tyrosine,,,P35916
103,411_141,VEGF,Untreated,10.0,23592840,FLT1,1,Tyrosine,,,P17948
104,414_141,VEGF,Untreated,20.0,23592840,FLT4,1,Tyrosine,,,P35916
105,414_141,VEGF,Untreated,20.0,23592840,FLT1,1,Tyrosine,,,P17948
106,417_141,VEGF,Untreated,30.0,23592840,FLT4,1,Tyrosine,,,P35916
107,417_141,VEGF,Untreated,30.0,23592840,FLT1,1,Tyrosine,,,P17948
108,420_141,VEGF,Untreated,60.0,23592840,FLT4,1,Tyrosine,,,P35916
109,420_141,VEGF,Untreated,60.0,23592840,FLT1,1,Tyrosine,,,P17948
110,423_141,Sorafinib,Untreated,,23592840,BRAF,-1,Serine/Threonine,,,P15056
111,423_141,Sorafinib,Untreated,,23592840,RAF1,-1,Serine/Threonine,,,P04049
112,423_141,Sorafinib,Untreated,,23592840,PDGFRB,-1,Tyrosine,,,P09619
113,423_141,Sorafinib,Untreated,,23592840,FLT1,-1,Tyrosine,,,P17948
114,423_141,Sorafinib,Untreated,,23592840,FLT4,-1,Tyrosine,,,P35916
115,426_144,EGF,Untreated,10.0,22210691,AKT1,1,Serine/Threonine,,,P31749
116,426_144,EGF,Untreated,10.0,22210691,MAPK1,1,Serine/Threonine,,,P28482
117,426_144,EGF,Untreated,10.0,22210691,EGFR,1,Tyrosine,,,P00533
118,426_144,EGF,Untreated,10.0,22210691,MAP2K1,1,Dual-specificity,,,Q02750
119,426_144,EGF,Untreated,10.0,22210691,BRAF,1,Serine/Threonine,,,P15056
120,426_144,EGF,Untreated,10.0,22210691,RAF1,1,Serine/Threonine,,,P04049
121,426_144,EGF,Untreated,10.0,22210691,MAP2K2,1,Dual-specificity,,,P36507
122,426_144,EGF,Untreated,10.0,22210691,MAPK3,1,Serine/Threonine,,,P27361
123,426_153,EGF,Untreated,10.0,22210691,AKT1,1,Serine/Threonine,,,P31749
124,426_153,EGF,Untreated,10.0,22210691,MAP2K2,1,Dual-specificity,,,P36507
125,426_153,EGF,Untreated,10.0,22210691,MAPK1,1,Serine/Threonine,,,P28482
126,426_153,EGF,Untreated,10.0,22210691,RAF1,1,Serine/Threonine,,,P04049
127,426_153,EGF,Untreated,10.0,22210691,EGFR,1,Tyrosine,,,P00533
128,426_153,EGF,Untreated,10.0,22210691,MAP2K1,1,Dual-specificity,,,Q02750
129,426_153,EGF,Untreated,10.0,22210691,BRAF,1,Serine/Threonine,,,P15056
130,426_153,EGF,Untreated,10.0,22210691,MAPK3,1,Serine/Threonine,,,P27361
131,429_144,EGF,Untreated,1440.0,22210691,AKT1,1,Serine/Threonine,,,P31749
132,429_144,EGF,Untreated,1440.0,22210691,RAF1,1,Serine/Threonine,,,P04049
133,429_144,EGF,Untreated,1440.0,22210691,MAP2K2,1,Dual-specificity,,,P36507
134,429_144,EGF,Untreated,1440.0,22210691,MAPK1,1,Serine/Threonine,,,P28482
135,429_144,EGF,Untreated,1440.0,22210691,EGFR,1,Tyrosine,,,P00533
136,429_144,EGF,Untreated,1440.0,22210691,MAP2K1,1,Dual-specificity,,,Q02750
137,429_144,EGF,Untreated,1440.0,22210691,BRAF,1,Serine/Threonine,,,P15056
138,429_144,EGF,Untreated,1440.0,22210691,MAPK3,1,Serine/Threonine,,,P27361
139,429_153,EGF,Untreated,1440.0,22210691,RAF1,1,Serine/Threonine,,,P04049
140,429_153,EGF,Untreated,1440.0,22210691,MAPK1,1,Serine/Threonine,,,P28482
141,429_153,EGF,Untreated,1440.0,22210691,MAP2K2,1,Dual-specificity,,,P36507
142,429_153,EGF,Untreated,1440.0,22210691,BRAF,1,Serine/Threonine,,,P15056
143,429_153,EGF,Untreated,1440.0,22210691,MAPK3,1,Serine/Threonine,,,P27361
144,429_153,EGF,Untreated,1440.0,22210691,EGFR,1,Tyrosine,,,P00533
145,429_153,EGF,Untreated,1440.0,22210691,MAP2K1,1,Dual-specificity,,,Q02750
146,429_153,EGF,Untreated,1440.0,22210691,AKT1,1,Serine/Threonine,,,P31749
147,474_177,Iloprost (5 nM),Vehicle,0.16,24324209,PRKACA,1,Serine/Threonine,,,P17612
148,477_177,Iloprost (5 nM),Vehicle,0.5,24324209,PRKACA,1,Serine/Threonine,,,P17612
149,480_177,Iloprost (5 nM),Vehicle,1.0,24324209,PRKACA,1,Serine/Threonine,,,P17612
150,483_180,Quizartinib,AML cell lines,,24247654,FLT3,-1,Tyrosine,,,P36888
151,483_180,Quizartinib,AML cell lines,,24247654,PDGFRA,-1,Tyrosine,,,P16234
152,483_183,Quizartinib,AML cell lines,,24247654,FLT3,-1,Tyrosine,,,P36888
153,483_183,Quizartinib,AML cell lines,,24247654,PDGFRA,-1,Tyrosine,,,P16234
154,696_222,ATR inhibitor (VE-821),Control,,25003641,ATR,-1,Serine/Threonine,,,Q13535
155,702_225,PIK3CA activation (H1047R) + inhibitor,Control,,25247763,AKT1,1,Serine/Threonine,,,P31749
156,714_78,EGF,Untreated,5.0,21955146,MAPK3,1,Serine/Threonine,,,P27361
157,714_78,EGF,Untreated,5.0,21955146,MAPK1,1,Serine/Threonine,,,P28482
158,714_78,EGF,Untreated,5.0,21955146,RAF1,1,Serine/Threonine,,,P04049
159,714_78,EGF,Untreated,5.0,21955146,AKT1,1,Serine/Threonine,,,P31749
160,714_78,EGF,Untreated,5.0,21955146,MAP2K2,1,Dual-specificity,,,P36507
161,714_78,EGF,Untreated,5.0,21955146,BRAF,1,Serine/Threonine,,,P15056
162,714_78,EGF,Untreated,5.0,21955146,MAP2K1,1,Dual-specificity,,,Q02750
163,714_78,EGF,Untreated,5.0,21955146,EGFR,1,Tyrosine,,,P00533
164,72_138,G1_S (Thymidine),Async cells,0.0,20068231,ATM,1,Serine/Threonine,,,Q13315
165,72_138,G1_S (Thymidine),Async cells,0.0,20068231,ATR,1,Serine/Threonine,,,Q13535
166,72_72,G1_S (Thymidine),Async cells,0.0,18669648,ATM,1,Serine/Threonine,,,Q13315
167,72_72,G1_S (Thymidine),Async cells,0.0,18669648,ATR,1,Serine/Threonine,,,Q13535
168,81_138,Early S (Thymidine),Async cells,150.0,20068231,ATM,1,Serine/Threonine,,,Q13315
169,81_138,Early S (Thymidine),Async cells,150.0,20068231,ATR,1,Serine/Threonine,,,Q13535
170,84_138,Late S (Thymidine),Async cells,330.0,20068231,ATR,1,Serine/Threonine,,,Q13535
171,84_138,Late S (Thymidine),Async cells,330.0,20068231,ATM,1,Serine/Threonine,,,Q13315
172,96_36,Erlotinib,Untreated,0.0,22115753,EGFR,-1,Tyrosine,,,P00533
173,99_36,Gefitinib,Untreated,0.0,22115753,EGFR,-1,Tyrosine,,,P00533
174,HL60.AC220,,,,31959955,FLT3,-1,Tyrosine,HL60,AC220,P36888
175,HL60.AT13148,,,,31959955,ROCK1,-1,Serine/Threonine,HL60,AT13148,Q13464
176,HL60.AZ20,,,,31959955,ATR,-1,Serine/Threonine,HL60,AZ20,Q13535
177,HL60.AZD1480,,,,31959955,JAK2,-1,Tyrosine,HL60,AZD1480,O60674
178,HL60.AZD3759,,,,31959955,EGFR,-1,Tyrosine,HL60,AZD3759,P00533
179,HL60.AZD3759,,,,31959955,JAK1,-1,Tyrosine,HL60,AZD3759,P23458
180,HL60.AZD5363,,,,31959955,AKT1,-1,Serine/Threonine,HL60,AZD5363,P31749
181,HL60.AZD5363,,,,31959955,AKT3,-1,Serine/Threonine,HL60,AZD5363,Q9Y243
182,HL60.AZD5438,,,,31959955,CDK2,-1,Serine/Threonine,HL60,AZD5438,P24941
183,HL60.AZD6244,,,,31959955,MAP2K1,-1,Dual-specificity,HL60,AZD6244,Q02750
184,HL60.AZD6244,,,,31959955,MAP2K2,-1,Dual-specificity,HL60,AZD6244,P36507
185,HL60.AZD6244,,,,31959955,MAP3K1,-1,Serine/Threonine,HL60,AZD6244,Q13233
187,HL60.AZD6738,,,,31959955,ATR,-1,Serine/Threonine,HL60,AZD6738,Q13535
188,HL60.AZD8055,,,,31959955,MTOR,-1,Serine/Threonine,HL60,AZD8055,P42345
189,HL60.BX912,,,,31959955,CHEK1,-1,Serine/Threonine,HL60,BX912,O14757
190,HL60.BX912,,,,31959955,CDK2,-1,Serine/Threonine,HL60,BX912,P24941
191,HL60.BX912,,,,31959955,GSK3B,-1,Serine/Threonine,HL60,BX912,P49841
192,HL60.BX912,,,,31959955,PDPK1,-1,Serine/Threonine,HL60,BX912,O15530
193,HL60.BX912,,,,31959955,KDR,-1,Tyrosine,HL60,BX912,P35968
194,HL60.Bosutinib,,,,31959955,SRC,-1,Tyrosine,HL60,Bosutinib,P12931
195,HL60.Bosutinib,,,,31959955,ABL1,-1,Tyrosine,HL60,Bosutinib,P00519
197,HL60.CHIR99021,,,,31959955,CDK1,-1,Serine/Threonine,HL60,CHIR99021,P06493
198,HL60.CHIR99021,,,,31959955,MAPK1,-1,Serine/Threonine,HL60,CHIR99021,P28482
199,HL60.CHIR99021,,,,31959955,GSK3A,-1,Serine/Threonine,HL60,CHIR99021,P49840
200,HL60.CHIR99021,,,,31959955,GSK3B,-1,Serine/Threonine,HL60,CHIR99021,P49841
201,HL60.CX4945,,,,31959955,CSNK2A1,-1,Serine/Threonine,HL60,CX4945,P68400
202,HL60.DNA_PK_IV,,,,31959955,PRKDC,-1,Serine/Threonine,HL60,DNA_PK_IV,P78527
203,HL60.Dabrafenib,,,,31959955,BRAF,-1,Serine/Threonine,HL60,Dabrafenib,P15056
204,HL60.Dasatinib,,,,31959955,FYN,-1,Tyrosine,HL60,Dasatinib,P06241
205,HL60.Dasatinib,,,,31959955,LCK,-1,Tyrosine,HL60,Dasatinib,P06239
206,HL60.Dasatinib,,,,31959955,SRC,-1,Tyrosine,HL60,Dasatinib,P12931
207,HL60.FRAX486,,,,31959955,PAK1,-1,Serine/Threonine,HL60,FRAX486,Q13153
208,HL60.FRAX486,,,,31959955,PAK2,-1,Serine/Threonine,HL60,FRAX486,Q13177
209,HL60.FRAX486,,,,31959955,PAK3,-1,Serine/Threonine,HL60,FRAX486,O75914
210,HL60.GDC0068,,,,31959955,AKT1,-1,Serine/Threonine,HL60,GDC0068,P31749
211,HL60.GDC0068,,,,31959955,AKT2,-1,Serine/Threonine,HL60,GDC0068,P31751
212,HL60.GDC0068,,,,31959955,AKT3,-1,Serine/Threonine,HL60,GDC0068,Q9Y243
213,HL60.GDC0941,,,,31959955,PIK3CG,-1,Serine/Threonine,HL60,GDC0941,P48736
214,HL60.GDC0994,,,,31959955,MAPK3,-1,Serine/Threonine,HL60,GDC0994,P27361
215,HL60.GDC0994,,,,31959955,MAPK1,-1,Serine/Threonine,HL60,GDC0994,P28482
216,HL60.GF109203X,,,,31959955,PRKCA,-1,Serine/Threonine,HL60,GF109203X,P17252
217,HL60.GF109203X,,,,31959955,PRKCB,-1,Serine/Threonine,HL60,GF109203X,P05771
218,HL60.GF109203X,,,,31959955,PRKCG,-1,Serine/Threonine,HL60,GF109203X,P05129
219,HL60.GSK2334470,,,,31959955,PDPK1,-1,Serine/Threonine,HL60,GSK2334470,O15530
220,HL60.GSK690693,,,,31959955,AKT3,-1,Serine/Threonine,HL60,GSK690693,Q9Y243
221,HL60.Go6976,,,,31959955,PRKCZ,-1,Serine/Threonine,HL60,Go6976,Q05513
222,HL60.Go6976,,,,31959955,PRKD1,-1,Serine/Threonine,HL60,Go6976,Q15139
223,HL60.Go6983,,,,31959955,PRKCA,-1,Serine/Threonine,HL60,Go6983,P17252
224,HL60.H89_2HCl,,,,31959955,PRKACA,-1,Serine/Threonine,HL60,H89_2HCl,P17612
225,HL60.HS173,,,,31959955,PIK3CG,-1,Serine/Threonine,HL60,HS173,P48736
226,HL60.JNJ38877605,,,,31959955,MET,-1,Tyrosine,HL60,JNJ38877605,P08581
227,HL60.JNKIN8,,,,31959955,MAPK8,-1,Serine/Threonine,HL60,JNKIN8,P45983
228,HL60.JNKIN8,,,,31959955,MAPK9,-1,Serine/Threonine,HL60,JNKIN8,P45984
229,HL60.JNKIN8,,,,31959955,MAPK10,-1,Serine/Threonine,HL60,JNKIN8,P53779
230,HL60.KD025,,,,31959955,ROCK2,-1,Serine/Threonine,HL60,KD025,O75116
231,HL60.KN62,,,,31959955,CAMK4,-1,Serine/Threonine,HL60,KN62,Q16566
232,HL60.KN93,,,,31959955,CAMK2B,-1,Serine/Threonine,HL60,KN93,Q13554
233,HL60.Ku0063794,,,,31959955,MTOR,-1,Serine/Threonine,HL60,Ku0063794,P42345
234,HL60.LEE011,,,,31959955,CDK4,-1,Serine/Threonine,HL60,LEE011,P11802
235,HL60.LEE011,,,,31959955,CDK6,-1,Serine/Threonine,HL60,LEE011,Q00534
236,HL60.LY2090314,,,,31959955,GSK3A,-1,Serine/Threonine,HL60,LY2090314,P49840
237,HL60.LY2090314,,,,31959955,GSK3B,-1,Serine/Threonine,HL60,LY2090314,P49841
238,HL60.LY2584702,,,,31959955,RPS6KB1,-1,Serine/Threonine,HL60,LY2584702,P23443
239,HL60.LY2835219,,,,31959955,CDK4,-1,Serine/Threonine,HL60,LY2835219,P11802
240,HL60.LY2835219,,,,31959955,CDK6,-1,Serine/Threonine,HL60,LY2835219,Q00534
241,HL60.MK2206,,,,31959955,AKT1,-1,Serine/Threonine,HL60,MK2206,P31749
242,HL60.MK2206,,,,31959955,AKT2,-1,Serine/Threonine,HL60,MK2206,P31751
243,HL60.MK2206,,,,31959955,AKT3,-1,Serine/Threonine,HL60,MK2206,Q9Y243
244,HL60.MP470,,,,31959955,PDGFRA,-1,Tyrosine,HL60,MP470,P16234
245,HL60.MP470,,,,31959955,KIT,-1,Tyrosine,HL60,MP470,P10721
246,HL60.NU7441,,,,31959955,PRKDC,-1,Serine/Threonine,HL60,NU7441,P78527
247,HL60.OSI906,,,,31959955,IGF1R,-1,Tyrosine,HL60,OSI906,P08069
248,HL60.PD153035,,,,31959955,EGFR,-1,Tyrosine,HL60,PD153035,P00533
249,HL60.PF3758309,,,,31959955,PAK4,-1,Serine/Threonine,HL60,PF3758309,O96013
250,HL60.PF4708671,,,,31959955,RPS6KB1,-1,Serine/Threonine,HL60,PF4708671,P23443
251,HL60.PH797804,,,,31959955,MAPK12,-1,Serine/Threonine,HL60,PH797804,P53778
253,HL60.Ripasudil,,,,31959955,ROCK1,-1,Serine/Threonine,HL60,Ripasudil,Q13464
254,HL60.SP600125,,,,31959955,TTK,-1,Dual-specificity,HL60,SP600125,P33981
255,HL60.SP600125,,,,31959955,MAPK8,-1,Serine/Threonine,HL60,SP600125,P45983
256,HL60.SP600125,,,,31959955,MAPK9,-1,Serine/Threonine,HL60,SP600125,P45984
257,HL60.SP600125,,,,31959955,MAPK10,-1,Serine/Threonine,HL60,SP600125,P53779
258,HL60.TAK715,,,,31959955,MAPK12,-1,Serine/Threonine,HL60,TAK715,P53778
259,HL60.TBCA,,,,31959955,CSNK2A1,-1,Serine/Threonine,HL60,TBCA,P68400
261,HL60.Tofacitinib,,,,31959955,JAK3,-1,Tyrosine,HL60,Tofacitinib,P52333
262,HL60.Torin1,,,,31959955,MTOR,-1,Serine/Threonine,HL60,Torin1,P42345
263,HL60.Trametinib,,,,31959955,MAP2K1,-1,Dual-specificity,HL60,Trametinib,Q02750
264,HL60.Ulixertinib,,,,31959955,MAPK3,-1,Serine/Threonine,HL60,Ulixertinib,P27361
265,HL60.Ulixertinib,,,,31959955,MAPK1,-1,Serine/Threonine,HL60,Ulixertinib,P28482
266,HL60.Vemurafenib,,,,31959955,BRAF,-1,Serine/Threonine,HL60,Vemurafenib,P15056
267,MCF7.AC220,,,,31959955,FLT3,-1,Tyrosine,MCF7,AC220,P36888
268,MCF7.AT13148,,,,31959955,ROCK1,-1,Serine/Threonine,MCF7,AT13148,Q13464
269,MCF7.AZ20,,,,31959955,ATR,-1,Serine/Threonine,MCF7,AZ20,Q13535
270,MCF7.AZD1480,,,,31959955,JAK2,-1,Tyrosine,MCF7,AZD1480,O60674
271,MCF7.AZD3759,,,,31959955,EGFR,-1,Tyrosine,MCF7,AZD3759,P00533
272,MCF7.AZD3759,,,,31959955,JAK1,-1,Tyrosine,MCF7,AZD3759,P23458
273,MCF7.AZD5363,,,,31959955,AKT1,-1,Serine/Threonine,MCF7,AZD5363,P31749
274,MCF7.AZD5363,,,,31959955,AKT3,-1,Serine/Threonine,MCF7,AZD5363,Q9Y243
275,MCF7.AZD5438,,,,31959955,CDK2,-1,Serine/Threonine,MCF7,AZD5438,P24941
276,MCF7.AZD6244,,,,31959955,MAP2K1,-1,Dual-specificity,MCF7,AZD6244,Q02750
277,MCF7.AZD6244,,,,31959955,MAP2K2,-1,Dual-specificity,MCF7,AZD6244,P36507
278,MCF7.AZD6244,,,,31959955,MAP3K1,-1,Serine/Threonine,MCF7,AZD6244,Q13233
280,MCF7.AZD6738,,,,31959955,ATR,-1,Serine/Threonine,MCF7,AZD6738,Q13535
281,MCF7.AZD8055,,,,31959955,MTOR,-1,Serine/Threonine,MCF7,AZD8055,P42345
